name,account_type,normal_balance,cash_flow_activity,is_cash_equivalent
Kas & Bank,ASSET,DEBIT,NULL,TRUE
Akun Piutang,ASSET,DEBIT,OPERATING,FALSE
Persediaan,ASSET,DEBIT,OPERATING,FALSE
Aktiva Lancar Lainnya,ASSET,DEBIT,OPERATING,FALSE
Aktiva Tetap,ASSET,DEBIT,INVESTING,FALSE
Depresiasi & Amortisasi,ASSET,CREDIT,NULL,FALSE
Aktiva Lainnya,ASSET,DEBIT,INVESTING,FALSE
Akun Hutang,LIABILITY,CREDIT,OPERATING,FALSE
Kartu Kredit,LIABILITY,CREDIT,OPERATING,FALSE
Kewajiban Lancar Lainnya,LIABILITY,CREDIT,OPERATING,FALSE
Kewajiban Jangka Panjang,LIABILITY,CREDIT,FINANCING,FALSE
Ekuitas,EQUITY,CREDIT,FINANCING,FALSE
Pendapatan,REVENUE,CREDIT,OPERATING,FALSE
Harga Pokok Penjualan,EXPENSE,DEBIT,OPERATING,FALSE
Beban,EXPENSE,DEBIT,OPERATING,FALSE
Pendapatan Lainnya,REVENUE,CREDIT,OPERATING,FALSE
Beban Lainnya,EXPENSE,DEBIT,OPERATING,FALSE
